id_entidad,nombre_entidad,direccion,telefono,address_department
PE-CONSUCODE-786,MUNICIPALIDAD DISTRITAL DE PAMPAMARCA - CANAS,PLAZA DE ARMAS SN,969666725,CUSCO
PE-CONSUCODE-823,MUNICIPALIDAD PROVINCIAL DE PARURO,AV. GRAU,,CUSCO
PE-CONSUCODE-853,MUNICIPALIDAD DISTRITAL DE MACHUPICCHU,PLAZA MANCO CAPAC,,CUSCO
PE-CONSUCODE-877,MUNICIPALIDAD DISTRITAL DE CAJA ESPIRITU,PLAZA PRINCIPAL S/N,,HUANCAVELICA
PE-CONSUCODE-881,MUNICIPALIDAD DISTRITAL DE ROSARIO,PLAZA PRINCIPAL S/N - ROSARIO,981829382,HUANCAVELICA
PE-CONSUCODE-894,MUNICIPALIDAD PROVINCIAL DE CASTROVIRREYNA,AV. LOS LIBERTADORES S/N,,HUANCAVELICA
PE-CONSUCODE-202365,GOBIERNO REGIONAL JUNIN UNIDAD EJECUTORA 307 EDUCACION JAUJA,ATAHUALPA,064362052,JUNIN
PE-CONSUCODE-910,MUNICIPALIDAD DISTRITAL DE AHUAYCHA,JR 14 DE DICIEMBRE NO 179,966344681,HUANCAVELICA
PE-CONSUCODE-971,MUNICIPALIDAD DISTRITAL DE PACHAS,PLAZA DE ARMAS S/N - PACHAS,,HUANUCO
PE-CONSUCODE-980,MUNICIPALIDAD DISTRITAL DE JACAS GRANDE,PLAZA DE ARMAS 2DO PISO Km 116,,HUANUCO
